Value,Count,ID,MU_GLOBAL,MU_SOURCE1,MU_SOURCE2,ISSOIL,SHARE,SEQ,SU_SYM74,SU_CODE74,SU_SYM85,SU_CODE85,SU_SYM90,SU_CODE90,T_TEXTURE,DRAINAGE,REF_DEPTH,AWC_CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD_PROP,T_GRAVEL,T_SAND,T_SILT,T_CLAY,T_USDA_TEX_CLASS,T_REF_BULK_DENSITY,T_OC,T_PH_H2O,T_CEC_CLAY,T_CEC_SOIL,T_BS,T_TEB,T_CACO3,T_CASO4,T_ESP,T_ECE,S_GRAVEL,S_SAND,S_SILT,S_CLAY,S_USDA_TEX_CLASS,S_REF_BULK_DENSITY,S_OC,S_PH_H2O,S_CEC_CLAY,S_CEC_SOIL,S_BS,S_TEB,S_CACO3,S_CASO4,S_ESP,S_ECE
11875,300,11875,11067,14405,0,1,100,1,,0,,0,LVg,113,2,2,100,0,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11876,400,11876,11068,14407,0,1,100,1,,0,,0,LVg,113,2,2,100,0,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11877,200,11877,11069,14408,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11878,400,11878,11070,14409,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11879,10500,11879,11071,14411,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11880,38300,11880,11072,14412,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11881,8900,11881,11073,14413,0,1,100,1,,0,,0,LVg,113,1,2,100,1,0,0,0,0,0,0,4,80,11,9,12,1.6,0.63,6.5,54,6,83,6.1,0.1,0.1,2,0.1,5,68,10,22,10,1.45,0.3,6.4,43,9,80,5.9,0.1,0.1,1,0.1
11882,6800,11882,11074,14414,0,1,100,1,,0,,0,LVg,113,3,2,100,1,0,0,0,0,0,0,4,43,16,41,3,1.31,0.84,7,57,24,99,26,1.4,0,1,0.1,8,37,15,48,3,1.27,0.55,7,51,27,99,31.3,0,0,2,0.1
11883,2000,11883,11075,14415,0,1,100,1,,0,,0,LVg,113,2,2,100,1,0,0,0,0,0,0,5,47,29,24,9,1.39,0.83,6.3,46,16,93,14.9,0,0,2,0.1,6,39,27,34,5,1.33,0.28,7,44,16,99,15.9,0.4,0,2,0.1
11884,18200,11884,11076,14416,0,1,100,1,,0,,0,LVg,113,1,2,100,1,0,0,0,0,0,0,4,80,11,9,12,1.6,0.63,6.5,54,6,83,6.1,0.1,0.1,2,0.1,5,68,10,22,10,1.45,0.3,6.4,43,9,80,5.9,0.1,0.1,1,0.1
11885,300,11885,11077,14417,0,1,100,1,,0,,0,LVg,113,1,2,100,5,18,0,0,0,0,0,4,80,11,9,12,1.6,0.63,6.5,54,6,83,6.1,0.1,0.1,2,0.1,5,68,10,22,10,1.45,0.3,6.4,43,9,80,5.9,0.1,0.1,1,0.1
